Pergunta,Reposta,Categoria
Escala maior de F,F G A Bb C D E,Escala Maior
Escala maior de Eb,Eb F G Ab Bb C D,Escala Menor
Qual é a escala mais comum na música ocidental?,Escala Maior.,Teoria Escalas
Como se forma uma escala menor natural?,"A escala menor natural é formada pela sequência de tons e semitons: Tónica, tom menor, semitom, tónica, tónica, tom menor, semitom e tónica.",Teoria Escalas
O que é a escala pentatônica?,A escala pentatônica é uma escala musical com apenas cinco notas.,Teoria Escalas
O que é um intervalo musical?,Um intervalo musical é a distância entre duas notas.,Intervalos
Qual é a distância entre uma tónica e uma terça maior?,A distância entre uma tónica e uma terça maior é de quatro semitons.,Intervalos
Como se forma um intervalo diminuto?,Um intervalo diminuto é formado pela distância de uma tónica a outra nota situada a duas semitons acima.,Intervalos
Como se forma uma triade maior?,"Uma triade maior é formada pela sequência de tons e semitons: Tónica, tom maior, semitom e tónica.",Triades
Como se forma uma triade menor?,"Uma triade menor é formada pela sequência de tons e semitons: Tónica, tom menor, semitom e tónica.",Triades
Qual é a diferença entre uma triade maior e uma triade menor?,A principal diferença entre uma triade maior e uma triade menor é o tom maior ou menor que se encontra entre a tónica e a terça da triade.,Triades
Triade de D,D F A,Tríades
Triade de Eb,Eb G Bb,Tríades
Qual é a terça de D?,F#,Intervalos
Qual é a quinta de D?,A,Intervalos
Qual é a 5 bemol de Ab?,Eb,Intervalos
Qual é a terça de C#?,E#,Intervalos
Qual é a terça de Bb?,D,Intervalos
Qual é a oitava acima de C?,C,Intervalos
Qual é a sexta de Db?,Bb,Intervalos
Qual é a terça maior de F#?,A#,Intervalos
Qual é a quinta diminuta de A?,E,Intervalos
Qual é a segunda menor de B?,C#,Intervalos
Qual é a terça maior de Gb?,Bb,Intervalos
Qual é a terça menor de Db?,E,Intervalos
Qual é a segunda diminuta de Eb?,F,Intervalos
Qual é a terça diminuta de G?,Bb,Intervalos
Qual é a quinta diminuta de Bb?,Eb,Intervalos
Qual é a segunda maior de C#?,D#,Intervalos
Qual é a terça diminuta de D#?,G,Intervalos
Qual é a quinta maior de Gb?,Cb,Intervalos
Qual é a terça menor de A#?,C,Intervalos
